"Branch","Hash","Date","Subject","Base","Files","Added","Deleted","Net","NewFiles","RuntimeFiles","TestFiles","DocFiles","GovernanceFiles","CausalFiles","ChangeTotal","Churn","SemanticImpact","ArchitecturalShift","EntropyDelta","StabilizationPressure","CausalityDepth","GovernanceDensity","RefactorSeverity","DeltaHours","QualityIndex","SustainableVelocity"
"origin/V.0.5.0.4","e879174321c22998492d232eaeba269d3b1bc8ee","2026-04-09T14:50:01+07:00","Release V.0.5.0.4 - Complete current project state with all recent updates, deletions, and new files","49058eef23d9f65089ac623c783ed35afa2711fb","146","4935","10684","-5749","20","69","26","6","0","4","15619","2,72","100","31","-18,02","37","2,7","0","68,4","39,75","53,80","1,35"
"origin/V.0.5.0.5","355900390edd37ece4f37af287a8abd40fb7c1ec","2026-04-10T01:24:54+07:00","chore: snapshot project state for V.0.5.0.5","e879174321c22998492d232eaeba269d3b1bc8ee","13","1065","2368","-1303","2","9","1","2","0","0","3433","2,63","62","2","-51,57","17","0","0","69","10,58","25,25","2,39"
"origin/V.0.5.0.6","dbf79074888be55b6076b50d354f8bf94ff540b5","2026-04-11T00:17:16+07:00","chore: snapshot project state for V.0.5.0.6","355900390edd37ece4f37af287a8abd40fb7c1ec","57","4405","1864","2541","7","27","11","3","0","0","6269","2,47","100","17","25,32","30","0","0","29,7","22,87","46,45","2,03"
"origin/V.0.5.0.7","8d2da56c5643fd81afdda2be675f366ad5cf65b6","2026-04-12T23:59:49+07:00","chore: snapshot project state for V.0.5.0.7","dbf79074888be55b6076b50d354f8bf94ff540b5","53","8432","1428","7004","24","27","8","4","0","1","9860","1,41","100","35","66,23","16","1,9","0","14,5","47,71","47,85","1,00"
"origin/V.0.5.0.8","9daf3b357ddba5ace89eb6815fa2111895aea0ce","2026-04-15T03:33:12+07:00","chore: snapshot local project state for V.0.5.0.8","8d2da56c5643fd81afdda2be675f366ad5cf65b6","137","12096","1960","10136","49","60","26","5","0","1","14056","1,39","100","59","49,55","32","0,7","0","13,9","51,56","61,85","1,20"
"origin/V.0.5.0.9","690bc7c82a568eb4c8ca595213ee76ee809a8b49","2026-04-19T02:38:39+07:00","chore: snapshot local project state for V.0.5.0.9","9daf3b357ddba5ace89eb6815fa2111895aea0ce","1721","30733","5348","25385","1636","89","8","3","0","7","36081","1,42","100","100","99,98","0","0,4","0","14,8","95,09","65,00","0,68"
"origin/V.0.5.1.0_Починил_ллм","ca87268e8d63367871467a724daa72f4e0d04b53","2026-04-22T20:52:51+07:00","chore: snapshot local project state for V.0.5.1.0_Починил_ллм","690bc7c82a568eb4c8ca595213ee76ee809a8b49","154","9048","3587","5461","19","80","25","2","0","7","12635","2,31","100","31","23,73","18","4,5","0","28,4","90,24","47,15","0,52"
"origin/V.0.5.1.1_Встроил_ТИК_ТАК","d3963486c9e078d3ced32e3f55f5124bb8ab14a2","2026-04-23T22:46:23+07:00","chore: snapshot local project state for V.0.5.1.1_Встроил_ТИК_ТАК","ca87268e8d63367871467a724daa72f4e0d04b53","30","3415","185","3230","4","9","1","0","0","0","3600","1,11","62","4","54,26","13","0","0","5,1","25,89","24,55","0,95"
"origin/V.0.5.1.2_Встроил_ПАМЯТЬ_0.1и0.2","7eb260b9c2b54aa79de4483b4382de3b53c98de3","2026-04-25T00:41:01+07:00","chore: snapshot local project state for V.0.5.1.2_Встроил_ПАМЯТЬ_0.1и0.2","d3963486c9e078d3ced32e3f55f5124bb8ab14a2","47","2265","253","2012","7","19","0","0","0","0","2518","1,25","79","17","24,91","0","0","0","10","25,91","29,65","1,14"
"origin/V.0.5.1.3_Встроил_Кратковременную_память","c2aa3b50caf23a75581b3245fc563226e143bd9e","2026-04-25T13:46:47+07:00","chore: snapshot local project state for V.0.5.1.3_Встроил_Кратковременную_память","7eb260b9c2b54aa79de4483b4382de3b53c98de3","35","2858","309","2549","3","15","0","0","0","0","3167","1,24","72","3","38,87","5","0","0","9,8","13,1","24,40","1,86"
"origin/V.0.5.1.4_Начал_чинить_GAME_LOOP","5a65152d37056237b633f899f342bec83581dfc2","2026-04-26T10:52:13+07:00","V.0.5.1.4 - Начал чинить GAME_LOOP","c2aa3b50caf23a75581b3245fc563226e143bd9e","40","3420","855","2565","34","7","1","24","0","1","4275","1,67","61","35","41,79","39","2,5","0","20","21,09","44,20","2,10"
"origin/V.0.5.1.5_Продолжаю_починку_игры","daf3054294abed664c40b688ee56c61c67c15d13","2026-04-26T23:42:59+07:00","V.0.5.1.5: Fix ATTACK=0%, wire TopicExtractor, add SQLite atomic persistence, integrate Spatial Execution Layer (R4), overhaul Game Loop with PhysicalResolver/SceneContinuity/PerceptionFilter/SocialPropagation/EconomyTracker/WorldTickEngine/ReputationEngine. Remove dead tests. See COMPARISON_REPORT_V.0.5.1.4.md","5a65152d37056237b633f899f342bec83581dfc2","68","2837","2108","729","36","28","3","24","0","1","4945","6,78","100","47","14,67","25","1,5","0","42,6","12,85","55,20","4,30"
"origin/V.0.5.1.6_Продолжаю_починку_2","e55c5bd0e89ea222ceee996737300bfca7ecfdb9","2026-04-28T00:30:45+07:00","chore: mark all TODO items complete","daf3054294abed664c40b688ee56c61c67c15d13","26","1065","1088","-23","1","10","2","2","0","0","2153","93,61","62","1","-1,62","20","0","0","50,5","24,8","25,95","1,05"
"origin/V.0.5.1.7_Продолжаю_починку_3","0e266f6a57b0b8836b2feec9756c485e389b53d5","2026-04-28T21:43:18+07:00","docs: add COMPARISON_REPORT_V.0.5.1.6.md","e55c5bd0e89ea222ceee996737300bfca7ecfdb9","21","787","502","285","1","11","0","2","0","0","1289","4,52","59","1","6,73","13","0","0","38,9","21,21","22,60","1,07"
"origin/V.0.5.1.8_Продолжаю_починку_4","75373bdd76d7e7a041f3470047bb49c6dd29cd2a","2026-04-30T00:05:08+07:00","V.0.5.1.8_Продолжаю_починку_4: TickOrchestrator + phased GameLoop (1,2,5,6,8), NPC tick pipeline, SpatialEventDetector, TransitTracker, SocialPropagation, FrontEngine/FilterApplicator, R3 DirectBuilder, discovery test. game_loop.py modular. COMPARISON_REPORT_V.0.5.1.8.md","0e266f6a57b0b8836b2feec9756c485e389b53d5","41","3035","1278","1757","18","29","1","2","0","2","4313","2,45","100","30","27,28","0","4,9","0","29,6","26,36","40,50","1,54"
"origin/V.0.5.1.9_Продолжаю_починку_5","d11d8772cf3e8010386327bd3de93eeb215099f7","2026-04-30T23:29:42+07:00","V.0.5.1.9: продолжаю починку 5","75373bdd76d7e7a041f3470047bb49c6dd29cd2a","27","1310","456","854","7","19","4","0","0","0","1766","2,07","82","17","18,58","12","0","0","25,8","23,41","34,75","1,48"
"origin/V.0.5.2.0_Починил_запуск_игры","050bbb221574b96fa7b3816c1a62de8c89b01067","2026-05-01T15:27:42+07:00","docs: добавить comparison report для V.0.5.2.0","d11d8772cf3e8010386327bd3de93eeb215099f7","42","3151","1282","1869","13","26","4","3","0","1","4433","2,37","100","24","26,86","8","2,4","0","28,9","15,97","41,20","2,58"
"origin/V.0.5.2.1_Пора_сломать_DecisionHub","fd78c6d1b8ce2bec74c434d203c7ffb5e6ebe265","2026-05-01T21:14:01+07:00","V.0.5.2.1 Пора сломать DecisionHub: snapshot + migration + comparison report","050bbb221574b96fa7b3816c1a62de8c89b01067","1589","1138","409","729","9","15","0","9","0","1","1547","2,12","71","9","2,02","16","0,1","0","26,4","5,77","30,05","5,21"
"origin/V.0.5.2.2_Почти_почти","ebca2f1f5d6028ef8658c1f9531ce67e64b88ba1","2026-05-02T19:54:35+07:00","Добавлен сравнительный отчёт V.0.5.2.2 vs V.0.5.2.1","fd78c6d1b8ce2bec74c434d203c7ffb5e6ebe265","46","2119","1251","868","5","29","1","2","0","4","3370","3,88","100","19","10,8","0","8,7","0","37,1","22,68","36,65","1,62"
"origin/V.0.5.2.3_Почти_почти_2","7561e9b0c18a2ce3fbbb1abacd9205d9403c0c2f","2026-05-02T23:12:53+07:00","Add comparison report for V.0.5.2.3 vs V.0.5.2.2","ebca2f1f5d6028ef8658c1f9531ce67e64b88ba1","40","1444","1039","405","9","30","4","1","0","3","2483","6,13","100","22","6,95","3","7,5","0","41,8","3,3","38,75","11,74"
"origin/V.0.5.2.4_Почти_почти_3","953c1ad829554e0aebae533f122739beaa01ee66","2026-05-03T22:36:32+07:00","Rewrite README for The Fool current architecture and roadmap","7561e9b0c18a2ce3fbbb1abacd9205d9403c0c2f","41","2232","1419","813","9","27","3","3","0","3","3651","4,49","100","22","12,37","6","7,3","0","38,9","23,39","39,80","1,70"
"origin/V.0.5.2.5_Почти_почти_4","a65718c42b79972122dc656b0f124c79fa9570e0","2026-05-04T22:24:23+07:00","V.0.5.2.5_Почти_почти_4","953c1ad829554e0aebae533f122739beaa01ee66","30","1352","1679","-327","6","21","2","4","0","3","3031","9,27","94","20","-5,92","11","10","0","55,4","23,8","39,05","1,64"
"origin/V.0.5.2.6_Почти_почти_5","f36cd1f9be1e47f712975519c76662b0be6f148a","2026-05-05T23:34:37+07:00","V.0.5.2.6_Почти_почти_5","a65718c42b79972122dc656b0f124c79fa9570e0","37","869","380","489","6","13","10","11","3","1","1249","2,55","90","20","8,15","73","2,7","8,1","30,4","25,17","59,55","2,37"
"origin/V.0.5.2.7_Почти_почти_6","188a239360ed75f28830bd5c001d03b657263783","2026-05-06T22:00:09+07:00","Update V.0.5.2.7 comparison report metrics","f36cd1f9be1e47f712975519c76662b0be6f148a","28","1426","2668","-1242","4","5","13","7","4","1","4094","3,3","87","21","-24,81","91","3,6","14,3","65,2","22,43","65,30","2,91"
"origin/V.0.5.2.8_Почти_почти_7","36c1eeede810cba68442fb9d19ff29f703749b7d","2026-05-07T23:39:57+07:00","Update Open_road runtime session snapshot","188a239360ed75f28830bd5c001d03b657263783","39","2088","332","1756","9","15","3","9","4","4","2420","1,38","100","27","26,49","53","10,3","10,3","13,7","25,66","58,00","2,26"
"origin/V.0.5.2.9_СМЕНИЛ_подход","11e17af7cb72f8fc4dd84053100345760884a3c7","2026-05-08T23:12:23+07:00","V.0.5.2.9_СМЕНИЛ_подход: state pipeline, movement, UI, docs","36c1eeede810cba68442fb9d19ff29f703749b7d","30","1515","446","1069","5","11","2","8","4","4","1961","1,83","90","26","20,27","54","13,3","13,3","22,7","23,54","55,00","2,34"
"origin/V.0.5.3.0.1_НОВАЯ_РЕАЛЬНОСТЬ_1","e4ddc7bf8a85a72dd6b7313b1aaf03c0d731803d","2026-05-10T01:23:32+07:00","V.0.5.3.0.1: новая реальность, physiology+cfrm","11e17af7cb72f8fc4dd84053100345760884a3c7","58","4177","799","3378","12","29","5","8","4","5","4976","1,47","100","38","33,85","44","8,6","6,9","16,1","26,19","58,70","2,24"
"origin/V.0.5.3.0.2_НОВАЯ_РЕАЛЬНОСТЬ_2","040ba2b26c6e135171d9eaae09617fbf218500ef","2026-05-11T00:17:38+07:00","Update README for V.0.5.3.0.2_НОВАЯ_РЕАЛЬНОСТЬ_2","e4ddc7bf8a85a72dd6b7313b1aaf03c0d731803d","28","2041","1536","505","2","13","0","6","4","3","3577","7,08","92","23","9,36","44","10,7","14,3","42,9","22,9","51,05","2,23"
"origin/V.0.5.3.0.3_НОВАЯ_РЕАЛЬНОСТЬ_3","6fdc50b0c9a2b876f4d96ea5a38b1016a12a10bc","2026-05-12T01:24:42+07:00","V.0.5.3.0.3 NOUVEL REALITY 3: snapshot","040ba2b26c6e135171d9eaae09617fbf218500ef","80","4978","1452","3526","35","32","21","8","5","33","6430","1,82","100","75","32,37","87","41,2","6,2","22,6","25,12","86,70","3,45"
"origin/V.0.5.3.0.4_ПЕСОЧНИЦЫ_1","f0088b0f571f932e4d5be402a013194dcb0ca21f","2026-05-12T22:50:40+07:00","Rename comparison report to V.0.5.3.0.4 sandbox","6fdc50b0c9a2b876f4d96ea5a38b1016a12a10bc","18","1222","119","1103","7","3","5","7","4","4","1341","1,22","76","37","34,29","68","22,2","22,2","8,9","21,43","59,55","2,78"
"origin/V.0.5.3.0.5_ПЕСОЧНИЦЫ_2","de2afff4fd26984f1cdc9accee5120c3d94e587b","2026-05-14T01:33:49+07:00","Update README future vector for The Fool (docs/Tasks)","f0088b0f571f932e4d5be402a013194dcb0ca21f","40","1218","451","767","9","17","4","15","6","10","1669","2,18","100","46","12,34","78","25","15","27","26,72","73,40","2,75"
"origin/V.0.5.3.0.6_ПЕСОЧНИЦЫ_3","7818e88b0670b6b33210ac35af12beaf1a5e8853","2026-05-14T23:53:39+07:00","V.0.5.3.0.6_ПЕСОЧНИЦЫ_3: causal observatory, README, and daily comparison report","de2afff4fd26984f1cdc9accee5120c3d94e587b","36","1621","556","1065","15","12","7","16","8","10","2177","2,04","100","48","19,64","100","27,8","22,2","25,5","22,33","81,80","3,66"
